head,relation,tail
营养（生物的生活需要营养）,is_a,生物的共同特征
呼吸（生物能进行呼吸）,is_a,生物的共同特征
排出废物（生物能排出身体内产生的废物）,is_a,生物的共同特征
应激性（对外界刺激作出反应）,is_a,生物的共同特征
生长,is_a,生物的共同特征
繁殖,is_a,生物的共同特征
遗传和变异,is_a,生物的共同特征
细胞,relates_to,病毒
生物的共同特征,prerequisites_for,生物与非生物的区分
观察比较（找相同点与不同点）,prerequisites_for,归类（分类）
调查法（科学调查）,prerequisites_for,调查校园、公园或农田的生物种类
科学记录与整理分析,prerequisites_for,调查校园、公园或农田的生物种类
归类（分类）,prerequisites_for,调查校园、公园或农田的生物种类
调查校园、公园或农田的生物种类,verifies,生物多样性（初步认识）
调查校园、公园或农田的生物种类,verifies,生物与环境的关系（初步认识）
环境（生物的生活环境）,relates_to,生态因素
非生物因素,is_a,生态因素
生物因素,is_a,生态因素
变量（实验变量）,prerequisites_for,对照实验
对照实验,prerequisites_for,控制变量（设置对照）
科学探究的一般过程,prerequisites_for,探究光照对鼠妇分布的影响（明暗对照实验）
控制变量（设置对照）,prerequisites_for,探究光照对鼠妇分布的影响（明暗对照实验）
重复测量与统计求平均,prerequisites_for,探究光照对鼠妇分布的影响（明暗对照实验）
探究光照对鼠妇分布的影响（明暗对照实验）,verifies,非生物因素
探究光照对鼠妇分布的影响（明暗对照实验）,verifies,对照实验
生态系统,prerequisites_for,生态系统的组成
生产者,is_a,生态系统的组成
消费者,is_a,生态系统的组成
分解者,is_a,生态系统的组成
生产者,prerequisites_for,食物链
食物链,prerequisites_for,食物网
食物链,relates_to,物质和能量沿食物链/食物网流动
食物网,relates_to,物质和能量沿食物链/食物网流动
食物链,prerequisites_for,有毒物质沿食物链积累（生物富集）
食物网,prerequisites_for,有毒物质沿食物链积累（生物富集）
生态系统,relates_to,生态系统的自动调节能力
生物圈的范围,is_a,生物圈
生态系统类型的多样性,relates_to,生物圈
生态系统之间的关联,relates_to,生物圈
切片,is_a,玻片标本
涂片,is_a,玻片标本
装片,is_a,玻片标本
永久玻片标本,is_a,玻片标本
临时玻片标本,is_a,玻片标本
材料薄而透明（显微观察条件）,prerequisites_for,玻片标本
载玻片,prerequisites_for,玻片标本
盖玻片,prerequisites_for,玻片标本
制作临时装片,prerequisites_for,制作并观察植物细胞临时装片（观察植物细胞）
染色与引流（吸水纸引染）,prerequisites_for,制作并观察植物细胞临时装片（观察植物细胞）
显微镜下低倍镜观察与结构辨认,prerequisites_for,制作并观察植物细胞临时装片（观察植物细胞）
制作并观察植物细胞临时装片（观察植物细胞）,verifies,植物细胞的基本结构
制作临时装片,prerequisites_for,制作并观察人的口腔上皮细胞临时装片（观察动物细胞）
染色与引流（吸水纸引染）,prerequisites_for,制作并观察人的口腔上皮细胞临时装片（观察动物细胞）
